% Model:              VerificationExample_7-3.mph
% Version:            COMSOL 5.3.1.201
% Date:               Feb 6 2018, 14:19
% Table:              Table 1 {tbl1} - Point Evaluation 1 {pev1} (sigma_uni)
% T_in (K)               ep_in                    sigma_uni, Point: 2
297.15                   0.0075                   650000000
297.15                   0.008                    650000000
297.15                   0.0085                   650000000
297.15                   0.009000000000000001     650000000
297.15                   0.0095                   650000000
297.15                   0.01                     650000000
297.15                   0.0105                   650000000
297.15                   0.011                    650000000
297.15                   0.0115                   650000000
297.15                   0.012                    650000000
297.15                   0.0125                   650000000
297.15                   0.013000000000000001     650000000
297.15                   0.0135                   650000000
297.15                   0.014                    650000000
297.15                   0.0145                   650000000
297.15                   0.015                    650000000
297.15                   0.0155                   650000000
297.15                   0.016                    650000000
297.15                   0.0165                   650000000
297.15                   0.017                    650000000
297.15                   0.0175                   650000000
297.15                   0.018000000000000002     650000000
297.15                   0.0185                   650000000
297.15                   0.019                    650000000
297.15                   0.0195                   650000000
297.15                   0.02                     650000000
298.15                   0                        0
298.15                   5.0E-4                   105000000
298.15                   0.001                    210000000
298.15                   0.0015                   315000000
298.15                   0.002                    420000000
298.15                   0.0025                   525000000
298.15                   0.003                    630000000
298.15                   0.0035                   650000000
298.15                   0.004                    650000000
298.15                   0.0045000000000000005    650000000
298.15                   0.005                    650000000
298.15                   0.0055                   650000000
298.15                   0.006                    650000000
298.15                   0.006500000000000001     650000000
298.15                   0.007                    650000000
298.15                   0.0075                   650000000
298.15                   0.008                    650000000
298.15                   0.0085                   650000000
298.15                   0.009000000000000001     650000000
298.15                   0.0095                   650000000
298.15                   0.01                     650000000
298.15                   0.0105                   650000000
298.15                   0.011                    650000000
298.15                   0.0115                   650000000
298.15                   0.012                    650000000
298.15                   0.0125                   650000000
298.15                   0.013000000000000001     650000000
298.15                   0.0135                   650000000
298.15                   0.014                    650000000
298.15                   0.0145                   650000000
298.15                   0.015                    650000000
298.15                   0.0155                   650000000
298.15                   0.016                    650000000
298.15                   0.0165                   650000000
298.15                   0.017                    650000000
298.15                   0.0175                   650000000
298.15                   0.018000000000000002     650000000
298.15                   0.0185                   650000000
298.15                   0.019                    650000000
298.15                   0.0195                   650000000
298.15                   0.02                     650000000
299.15                   0                        0
299.15                   5.0E-4                   105000000
299.15                   0.001                    210000000
299.15                   0.0015                   315000000
299.15                   0.002                    420000000
299.15                   0.0025                   525000000
299.15                   0.003                    630000000
299.15                   0.0035                   650000000
299.15                   0.004                    650000000
299.15                   0.0045000000000000005    650000000
299.15                   0.005                    650000000
299.15                   0.0055                   650000000
299.15                   0.006                    650000000
299.15                   0.006500000000000001     650000000
299.15                   0.007                    650000000
299.15                   0.0075                   650000000
299.15                   0.008                    650000000
299.15                   0.0085                   650000000
299.15                   0.009000000000000001     650000000
299.15                   0.0095                   650000000
299.15                   0.01                     650000000
299.15                   0.0105                   650000000
299.15                   0.011                    650000000
299.15                   0.0115                   650000000
299.15                   0.012                    650000000
299.15                   0.0125                   650000000
299.15                   0.013000000000000001     650000000
299.15                   0.0135                   650000000
299.15                   0.014                    650000000
299.15                   0.0145                   650000000
299.15                   0.015                    650000000
299.15                   0.0155                   650000000
299.15                   0.016                    650000000
299.15                   0.0165                   650000000
299.15                   0.017                    650000000
299.15                   0.0175                   650000000
299.15                   0.018000000000000002     650000000
299.15                   0.0185                   650000000
299.15                   0.019                    650000000
299.15                   0.0195                   650000000
299.15                   0.02                     650000000
300.15                   0                        0
300.15                   5.0E-4                   105000000
300.15                   0.001                    210000000
300.15                   0.0015                   315000000
300.15                   0.002                    420000000
300.15                   0.0025                   525000000
300.15                   0.003                    630000000
300.15                   0.0035                   650000000
300.15                   0.004                    650000000
300.15                   0.0045000000000000005    650000000
300.15                   0.005                    650000000
300.15                   0.0055                   650000000
300.15                   0.006                    650000000
300.15                   0.006500000000000001     650000000
300.15                   0.007                    650000000
300.15                   0.0075                   650000000
300.15                   0.008                    650000000
300.15                   0.0085                   650000000
300.15                   0.009000000000000001     650000000
300.15                   0.0095                   650000000
300.15                   0.01                     650000000
300.15                   0.0105                   650000000
300.15                   0.011                    650000000
300.15                   0.0115                   650000000
300.15                   0.012                    650000000
300.15                   0.0125                   650000000
300.15                   0.013000000000000001     650000000
300.15                   0.0135                   650000000
300.15                   0.014                    650000000
300.15                   0.0145                   650000000
300.15                   0.015                    650000000
300.15                   0.0155                   650000000
300.15                   0.016                    650000000
300.15                   0.0165                   650000000
300.15                   0.017                    650000000
300.15                   0.0175                   650000000
300.15                   0.018000000000000002     650000000
300.15                   0.0185                   650000000
300.15                   0.019                    650000000
300.15                   0.0195                   650000000
300.15                   0.02                     650000000
301.15                   0                        0
301.15                   5.0E-4                   105000000
301.15                   0.001                    210000000
301.15                   0.0015                   315000000
301.15                   0.002                    420000000
301.15                   0.0025                   525000000
301.15                   0.003                    630000000
301.15                   0.0035                   650000000
301.15                   0.004                    650000000
301.15                   0.0045000000000000005    650000000
301.15                   0.005                    650000000
301.15                   0.0055                   650000000
301.15                   0.006                    650000000
301.15                   0.006500000000000001     650000000
301.15                   0.007                    650000000
301.15                   0.0075                   650000000
301.15                   0.008                    650000000
301.15                   0.0085                   650000000
301.15                   0.009000000000000001     650000000
301.15                   0.0095                   650000000
301.15                   0.01                     650000000
301.15                   0.0105                   650000000
301.15                   0.011                    650000000
301.15                   0.0115                   650000000
301.15                   0.012                    650000000
301.15                   0.0125                   650000000
301.15                   0.013000000000000001     650000000
301.15                   0.0135                   650000000
301.15                   0.014                    650000000
301.15                   0.0145                   650000000
301.15                   0.015                    650000000
301.15                   0.0155                   650000000
301.15                   0.016                    650000000
301.15                   0.0165                   650000000
301.15                   0.017                    650000000
301.15                   0.0175                   650000000
301.15                   0.018000000000000002     650000000
301.15                   0.0185                   650000000
301.15                   0.019                    650000000
301.15                   0.0195                   650000000
301.15                   0.02                     650000000
302.15                   0                        0
302.15                   5.0E-4                   105000000
302.15                   0.001                    210000000
302.15                   0.0015                   315000000
302.15                   0.002                    420000000
302.15                   0.0025                   525000000
302.15                   0.003                    630000000
302.15                   0.0035                   650000000
302.15                   0.004                    650000000
302.15                   0.0045000000000000005    650000000
302.15                   0.005                    650000000
302.15                   0.0055                   650000000
302.15                   0.006                    650000000
302.15                   0.006500000000000001     650000000
302.15                   0.007                    650000000
302.15                   0.0075                   650000000
302.15                   0.008                    650000000
302.15                   0.0085                   650000000
302.15                   0.009000000000000001     650000000
302.15                   0.0095                   650000000
302.15                   0.01                     650000000
302.15                   0.0105                   650000000
302.15                   0.011                    650000000
302.15                   0.0115                   650000000
302.15                   0.012                    650000000
302.15                   0.0125                   650000000
302.15                   0.013000000000000001     650000000
302.15                   0.0135                   650000000
302.15                   0.014                    650000000
302.15                   0.0145                   650000000
302.15                   0.015                    650000000
302.15                   0.0155                   650000000
302.15                   0.016                    650000000
302.15                   0.0165                   650000000
302.15                   0.017                    650000000
302.15                   0.0175                   650000000
302.15                   0.018000000000000002     650000000
302.15                   0.0185                   650000000
302.15                   0.019                    650000000
302.15                   0.0195                   650000000
302.15                   0.02                     650000000
303.15                   0                        0
303.15                   5.0E-4                   105000000
303.15                   0.001                    210000000
303.15                   0.0015                   315000000
303.15                   0.002                    420000000
303.15                   0.0025                   525000000
303.15                   0.003                    630000000
303.15                   0.0035                   650000000
303.15                   0.004                    650000000
303.15                   0.0045000000000000005    650000000
303.15                   0.005                    650000000
303.15                   0.0055                   650000000
303.15                   0.006                    650000000
303.15                   0.006500000000000001     650000000
303.15                   0.007                    650000000
303.15                   0.0075                   650000000
303.15                   0.008                    650000000
303.15                   0.0085                   650000000
303.15                   0.009000000000000001     650000000
303.15                   0.0095                   650000000
303.15                   0.01                     650000000
303.15                   0.0105                   650000000
303.15                   0.011                    650000000
303.15                   0.0115                   650000000
303.15                   0.012                    650000000
303.15                   0.0125                   650000000
303.15                   0.013000000000000001     650000000
303.15                   0.0135                   650000000
303.15                   0.014                    650000000
303.15                   0.0145                   650000000
303.15                   0.015                    650000000
303.15                   0.0155                   650000000
303.15                   0.016                    650000000
303.15                   0.0165                   650000000
303.15                   0.017                    650000000
303.15                   0.0175                   650000000
303.15                   0.018000000000000002     650000000
303.15                   0.0185                   650000000
303.15                   0.019                    650000000
303.15                   0.0195                   650000000
303.15                   0.02                     650000000
304.15                   0                        0
304.15                   5.0E-4                   105000000
304.15                   0.001                    210000000
304.15                   0.0015                   315000000
304.15                   0.002                    420000000
304.15                   0.0025                   525000000
304.15                   0.003                    630000000
304.15                   0.0035                   650000000
304.15                   0.004                    650000000
304.15                   0.0045000000000000005    650000000
304.15                   0.005                    650000000
304.15                   0.0055                   650000000
304.15                   0.006                    650000000
304.15                   0.006500000000000001     650000000
304.15                   0.007                    650000000
304.15                   0.0075                   650000000
304.15                   0.008                    650000000
304.15                   0.0085                   650000000
304.15                   0.009000000000000001     650000000
304.15                   0.0095                   650000000
304.15                   0.01                     650000000
304.15                   0.0105                   650000000
304.15                   0.011                    650000000
304.15                   0.0115                   650000000
304.15                   0.012                    650000000
304.15                   0.0125                   650000000
304.15                   0.013000000000000001     650000000
304.15                   0.0135                   650000000
304.15                   0.014                    650000000
304.15                   0.0145                   650000000
304.15                   0.015                    650000000
304.15                   0.0155                   650000000
304.15                   0.016                    650000000
304.15                   0.0165                   650000000
304.15                   0.017                    650000000
304.15                   0.0175                   650000000
304.15                   0.018000000000000002     650000000
304.15                   0.0185                   650000000
304.15                   0.019                    650000000
304.15                   0.0195                   650000000
304.15                   0.02                     650000000
305.15                   0                        0
305.15                   5.0E-4                   105000000
305.15                   0.001                    210000000
305.15                   0.0015                   315000000
305.15                   0.002                    420000000
305.15                   0.0025                   525000000
305.15                   0.003                    630000000
305.15                   0.0035                   650000000
305.15                   0.004                    650000000
305.15                   0.0045000000000000005    650000000
305.15                   0.005                    650000000
305.15                   0.0055                   650000000
305.15                   0.006                    650000000
305.15                   0.006500000000000001     650000000
305.15                   0.007                    650000000
305.15                   0.0075                   650000000
305.15                   0.008                    650000000
305.15                   0.0085                   650000000
305.15                   0.009000000000000001     650000000
305.15                   0.0095                   650000000
305.15                   0.01                     650000000
305.15                   0.0105                   650000000
305.15                   0.011                    650000000
305.15                   0.0115                   650000000
305.15                   0.012                    650000000
305.15                   0.0125                   650000000
305.15                   0.013000000000000001     650000000
305.15                   0.0135                   650000000
305.15                   0.014                    650000000
305.15                   0.0145                   650000000
305.15                   0.015                    650000000
305.15                   0.0155                   650000000
305.15                   0.016                    650000000
305.15                   0.0165                   650000000
305.15                   0.017                    650000000
305.15                   0.0175                   650000000
305.15                   0.018000000000000002     650000000
305.15                   0.0185                   650000000
305.15                   0.019                    650000000
305.15                   0.0195                   650000000
305.15                   0.02                     650000000
306.15                   0                        0
306.15                   5.0E-4                   105000000
306.15                   0.001                    210000000
306.15                   0.0015                   315000000
306.15                   0.002                    420000000
306.15                   0.0025                   525000000
306.15                   0.003                    630000000
306.15                   0.0035                   650000000
306.15                   0.004                    650000000
306.15                   0.0045000000000000005    650000000
306.15                   0.005                    650000000
306.15                   0.0055                   650000000
306.15                   0.006                    650000000
306.15                   0.006500000000000001     650000000
306.15                   0.007                    650000000
306.15                   0.0075                   650000000
306.15                   0.008                    650000000
306.15                   0.0085                   650000000
306.15                   0.009000000000000001     650000000
306.15                   0.0095                   650000000
306.15                   0.01                     650000000
306.15                   0.0105                   650000000
306.15                   0.011                    650000000
306.15                   0.0115                   650000000
306.15                   0.012                    650000000
306.15                   0.0125                   650000000
306.15                   0.013000000000000001     650000000
306.15                   0.0135                   650000000
306.15                   0.014                    650000000
306.15                   0.0145                   650000000
306.15                   0.015                    650000000
306.15                   0.0155                   650000000
306.15                   0.016                    650000000
306.15                   0.0165                   650000000
306.15                   0.017                    650000000
306.15                   0.0175                   650000000
306.15                   0.018000000000000002     650000000
306.15                   0.0185                   650000000
306.15                   0.019                    650000000
306.15                   0.0195                   650000000
306.15                   0.02                     650000000
307.15                   0                        0
307.15                   5.0E-4                   105000000
307.15                   0.001                    210000000
307.15                   0.0015                   315000000
307.15                   0.002                    420000000
307.15                   0.0025                   525000000
307.15                   0.003                    630000000
307.15                   0.0035                   650000000
307.15                   0.004                    650000000
307.15                   0.0045000000000000005    650000000
307.15                   0.005                    650000000
307.15                   0.0055                   650000000
307.15                   0.006                    650000000
307.15                   0.006500000000000001     650000000
307.15                   0.007                    650000000
307.15                   0.0075                   650000000
307.15                   0.008                    650000000
307.15                   0.0085                   650000000
307.15                   0.009000000000000001     650000000
307.15                   0.0095                   650000000
307.15                   0.01                     650000000
307.15                   0.0105                   650000000
307.15                   0.011                    650000000
307.15                   0.0115                   650000000
307.15                   0.012                    650000000
307.15                   0.0125                   650000000
307.15                   0.013000000000000001     650000000
307.15                   0.0135                   650000000
307.15                   0.014                    650000000
307.15                   0.0145                   650000000
307.15                   0.015                    650000000
307.15                   0.0155                   650000000
307.15                   0.016                    650000000
307.15                   0.0165                   650000000
307.15                   0.017                    650000000
307.15                   0.0175                   650000000
307.15                   0.018000000000000002     650000000
307.15                   0.0185                   650000000
307.15                   0.019                    650000000
307.15                   0.0195                   650000000
307.15                   0.02                     650000000
308.15                   0                        0
308.15                   5.0E-4                   105000000
308.15                   0.001                    210000000
308.15                   0.0015                   315000000
308.15                   0.002                    420000000
308.15                   0.0025                   525000000
308.15                   0.003                    630000000
308.15                   0.0035                   650000000
308.15                   0.004                    650000000
308.15                   0.0045000000000000005    650000000
308.15                   0.005                    650000000
308.15                   0.0055                   650000000
308.15                   0.006                    650000000
308.15                   0.006500000000000001     650000000
308.15                   0.007                    650000000
308.15                   0.0075                   650000000
308.15                   0.008                    650000000
308.15                   0.0085                   650000000
308.15                   0.009000000000000001     650000000
308.15                   0.0095                   650000000
308.15                   0.01                     650000000
308.15                   0.0105                   650000000
308.15                   0.011                    650000000
308.15                   0.0115                   650000000
308.15                   0.012                    650000000
308.15                   0.0125                   650000000
308.15                   0.013000000000000001     650000000
308.15                   0.0135                   650000000
308.15                   0.014                    650000000
308.15                   0.0145                   650000000
308.15                   0.015                    650000000
308.15                   0.0155                   650000000
308.15                   0.016                    650000000
308.15                   0.0165                   650000000
308.15                   0.017                    650000000
308.15                   0.0175                   650000000
308.15                   0.018000000000000002     650000000
308.15                   0.0185                   650000000
308.15                   0.019                    650000000
308.15                   0.0195                   650000000
308.15                   0.02                     650000000
309.15                   0                        0
309.15                   5.0E-4                   105000000
309.15                   0.001                    210000000
309.15                   0.0015                   315000000
309.15                   0.002                    420000000
309.15                   0.0025                   525000000
309.15                   0.003                    630000000
309.15                   0.0035                   650000000
309.15                   0.004                    650000000
309.15                   0.0045000000000000005    650000000
309.15                   0.005                    650000000
309.15                   0.0055                   650000000
309.15                   0.006                    650000000
309.15                   0.006500000000000001     650000000
309.15                   0.007                    650000000
309.15                   0.0075                   650000000
309.15                   0.008                    650000000
309.15                   0.0085                   650000000
309.15                   0.009000000000000001     650000000
309.15                   0.0095                   650000000
309.15                   0.01                     650000000
309.15                   0.0105                   650000000
309.15                   0.011                    650000000
309.15                   0.0115                   650000000
309.15                   0.012                    650000000
309.15                   0.0125                   650000000
309.15                   0.013000000000000001     650000000
309.15                   0.0135                   650000000
309.15                   0.014                    650000000
309.15                   0.0145                   650000000
309.15                   0.015                    650000000
309.15                   0.0155                   650000000
309.15                   0.016                    650000000
309.15                   0.0165                   650000000
309.15                   0.017                    650000000
309.15                   0.0175                   650000000
309.15                   0.018000000000000002     650000000
309.15                   0.0185                   650000000
309.15                   0.019                    650000000
309.15                   0.0195                   650000000
309.15                   0.02                     650000000
310.15                   0                        0
310.15                   5.0E-4                   105000000
310.15                   0.001                    210000000
310.15                   0.0015                   315000000
310.15                   0.002                    420000000
310.15                   0.0025                   525000000
310.15                   0.003                    630000000
310.15                   0.0035                   650000000
310.15                   0.004                    650000000
310.15                   0.0045000000000000005    650000000
310.15                   0.005                    650000000
310.15                   0.0055                   650000000
310.15                   0.006                    650000000
310.15                   0.006500000000000001     650000000
310.15                   0.007                    650000000
310.15                   0.0075                   650000000
310.15                   0.008                    650000000
310.15                   0.0085                   650000000
310.15                   0.009000000000000001     650000000
310.15                   0.0095                   650000000
310.15                   0.01                     650000000
310.15                   0.0105                   650000000
310.15                   0.011                    650000000
310.15                   0.0115                   650000000
310.15                   0.012                    650000000
310.15                   0.0125                   650000000
310.15                   0.013000000000000001     650000000
310.15                   0.0135                   650000000
310.15                   0.014                    650000000
310.15                   0.0145                   650000000
310.15                   0.015                    650000000
310.15                   0.0155                   650000000
310.15                   0.016                    650000000
310.15                   0.0165                   650000000
310.15                   0.017                    650000000
310.15                   0.0175                   650000000
310.15                   0.018000000000000002     650000000
310.15                   0.0185                   650000000
310.15                   0.019                    650000000
310.15                   0.0195                   650000000
310.15                   0.02                     650000000
311.15                   0                        0
311.15                   5.0E-4                   105000000
311.15                   0.001                    210000000
311.15                   0.0015                   315000000
311.15                   0.002                    420000000
311.15                   0.0025                   525000000
311.15                   0.003                    630000000
311.15                   0.0035                   650000000
311.15                   0.004                    650000000
311.15                   0.0045000000000000005    650000000
311.15                   0.005                    650000000
311.15                   0.0055                   650000000
311.15                   0.006                    650000000
311.15                   0.006500000000000001     650000000
311.15                   0.007                    650000000
